db.Total.Records,db.Year.of.Breach
"1,438",2010
"1,474",2010
"1,474",2010
"1,474",2010
"1,500",2010
"1,500",2010
"1,500",2010
"1,501",2010
"1,537",2010
"1,537",2010
"1,550",2010
"1,590",2010
"1,590",2010
"1,600",2010
"1,646",2010
"1,700",2010
"1,700",2010
"1,711",2010
"1,711",2010
"1,716",2010
"1,740",2010
"1,744",2010
"1,744",2010
"1,745",2010
"1,824",2010
"1,860",2010
"1,874",2010
"1,874",2010
"1,900",2010
"1,907",2010
"1,907",2010
"1,907",2010
"1,950",2010
"1,950",2010
"2,000",2010
"2,000",2010
"2,000",2010
"2,000",2010
"2,000",2010
"2,000",2010
"2,000",2010
"2,000",2010
"2,000",2010
"2,000",2010
"2,027",2010
"2,027",2010
"2,047",2010
"2,047",2010
"2,089",2010
"2,089",2010
"2,123",2010
"2,200",2010
"2,207",2010
"2,284",2010
"2,300",2010
"2,300",2010
"2,300",2010
"2,345",2010
"2,345",2010
"2,400",2010
"2,416",2010
"2,416",2010
"2,465",2010
"2,484",2010
"2,499",2010
"2,500",2010
"2,550",2010
"2,562",2010
"2,563",2010
"2,563",2010
"2,600",2010
"2,628",2010
"2,631",2010
"2,631",2010
"2,672",2010
"2,698",2010
"2,739",2010
"2,739",2010
"2,773",2010
"2,811",2010
"2,850",2010
"2,928",2010
"2,928",2010
"3,000",2010
"3,000",2010
"3,000",2010
"3,097",2010
"3,159",2010
"3,159",2010
"3,178",2010
"3,288",2010
"3,288",2010
"3,400",2010
"3,400",2010
"3,404",2010
"3,500",2010
"3,500",2010
"3,500",2010
"3,526",2010
"3,594",2010
"3,700",2010
"3,700",2010
"3,700",2010
"3,800",2010
"3,800",2010
"3,800",2010
"3,830",2010
"3,830",2010
"3,900",2010
"3,900",2010
"3,936",2010
"4,000",2010
"4,004",2010
"4,044",2010
"4,083",2010
"4,200",2010
"4,328",2010
"4,328",2010
"4,486",2010
"4,585",2010
"4,586",2010
"4,700",2010
"4,700",2010
"5,000",2010
"5,000",2010
"5,000",2010
"5,000",2010
"5,080",2010
"5,148",2010
"5,220",2010
"5,220",2010
"5,418",2010
"5,432",2010
"5,450",2010
"5,450",2010
"5,500",2010
"5,700",2010
"5,893",2010
"6,000",2010
"6,372",2010
"6,800",2010
"6,800",2010
"6,800",2010
"6,873",2010
"7,000",2010
"7,000",2010
"7,081",2010
"7,174",2010
"7,250",2010
"7,300",2010
"7,300",2010
"7,500",2010
"7,526",2010
"7,526",2010
"8,000",2010
"8,000",2010
"8,000",2010
"8,000",2010
"8,000",2010
"8,000",2010
"8,181",2010
"8,200",2010
"8,300",2010
"8,300",2010
"8,373",2010
"8,400",2010
"8,700",2010
"8,861",2010
"9,000",2010
"9,000",2010
"9,000",2010
"9,000",2010
"9,309",2010
"9,309",2010
"9,386",2010
"9,475",2010
"9,475",2010
"9,493",2010
"9,493",2010
"9,500",2010
"9,500",2010
"10,000",2010
"10,000",2010
"10,100",2010
"10,100",2010
"10,174",2010
"10,515",2010
"10,600",2010
"11,000",2010
"11,000",2010
"11,388",2010
"11,440",2010
"11,440",2010
"11,982",2010
"12,000",2010
"12,000",2010
"12,000",2010
"12,000",2010
"12,000",2010
"12,000",2010
"12,500",2010
"12,580",2010
"13,000",2010
"13,000",2010
"13,800",2010
"13,867",2010
"14,000",2010
"15,000",2010
"15,000",2010
"15,000",2010
"15,000",2010
"15,500",2010
"15,500",2010
"16,291",2010
"16,291",2010
"16,500",2010
"16,820",2010
"17,000",2010
"18,000",2010
"18,500",2010
"19,200",2010
"19,222",2010
"19,222",2010
"19,264",2010
"19,495",2010
"20,000",2010
"21,000",2010
"21,000",2010
"21,000",2010
"21,000",2010
"22,000",2010
"22,012",2010
"22,642",2010
"24,600",2010
"24,600",2010
"24,750",2010
"25,000",2010
"25,000",2010
"25,000",2010
"25,000",2010
"26,840",2010
"27,000",2010
"27,000",2010
"27,000",2010
"29,000",2010
"30,000",2010
"31,700",2010
"31,700",2010
"32,842",2010
"33,000",2010
"33,000",2010
"34,000",2010
"35,000",2010
"35,000",2010
"35,000",2010
"37,000",2010
"39,000",2010
"40,000",2010
"40,000",2010
"40,000",2010
"40,101",2010
"40,806",2010
"43,000",2010
"44,000",2010
"45,600",2010
"50,000",2010
"52,853",2010
"53,000",2010
"54,165",2010
"56,000",2010
"58,000",2010
"60,000",2010
"60,998",2010
"61,000",2010
"61,001",2010
"75,000",2010
"76,000",2010
"77,000",2010
"79,000",2010
"79,000",2010
"80,000",2010
"83,945",2010
"93,000",2010
"105,470",2010
"105,470",2010
"110,000",2010
"115,000",2010
"117,600",2010
"120,000",2010
"126,000",2010
"130,495",2010
"130,495",2010
"139,000",2010
"139,000",2010
"170,000",2010
"180,111",2010
"180,111",2010
"200,000",2010
"200,000",2010
"207,000",2010
"344,579",2010
"378,000",2010
"398,000",2010
"406,000",2010
"409,262",2010
"470,000",2010
"475,000",2010
"500,000",2010
"600,000",2010
"750,000",2010
"800,000",2010
"800,000",2010
"1,023,210",2010
"1,023,210",2010
"1,200,000",2010
"1,220,000",2010
"1,220,000",2010
"1,300,000",2010
"3,300,000",2010
"4,900,000",2010
"13,000,000",2010
"100,000,000",2010
10,2011
10,2011
11,2011
11,2011
12,2011
12,2011
12,2011
13,2011
14,2011
15,2011
15,2011
16,2011
16,2011
17,2011
20,2011
20,2011
20,2011
22,2011
22,2011
22,2011
23,2011
24,2011
26,2011
27,2011
28,2011
29,2011
30,2011
30,2011
30,2011
30,2011
30,2011
33,2011
38,2011
40,2011
40,2011
40,2011
40,2011
42,2011
45,2011
47,2011
48,2011
50,2011
50,2011
50,2011
50,2011
50,2011
50,2011
55,2011
58,2011
60,2011
60,2011
60,2011
70,2011
73,2011
74,2011
74,2011
80,2011
83,2011
85,2011
90,2011
91,2011
95,2011
98,2011
98,2011
100,2011
100,2011
100,2011
100,2011
100,2011
100,2011
100,2011
100,2011
100,2011
100,2011
100,2011
100,2011
113,2011
114,2011
117,2011
125,2011
140,2011
142,2011
149,2011
149,2011
150,2011
161,2011
172,2011
180,2011
185,2011
200,2011
200,2011
200,2011
200,2011
211,2011
237,2011
250,2011
250,2011
265,2011
266,2011
300,2011
300,2011
300,2011
321,2011
327,2011
348,2011
350,2011
357,2011
363,2011
370,2011
380,2011
382,2011
400,2011
444,2011
474,2011
493,2011
500,2011
500,2011
500,2011
500,2011
500,2011
500,2011
500,2011
500,2011
500,2011
501,2011
